,chain,symbol,2023-09-29_2023-10-13,2023-10-13_2023-10-27,2023-10-27_2023-11-10,2023-11-10_2023-11-23,2023-11-23_2023-12-07,2023-12-07_2023-12-21,2023-12-21_2024-01-04,2024-01-04_2024-01-18,2024-01-18_2024-02-01,2024-02-01_2024-02-15,2024-02-15_2024-02-29,2024-02-29_2024-03-14,2024-03-14_2024-03-28,2024-03-28_2024-04-11,2024-04-11_2024-04-25,2024-04-25_2024-05-09,2024-05-09_2024-05-23,2024-05-23_2024-06-06,2024-06-06_2024-06-20,2024-06-20_2024-07-04,2024-07-18_2024-08-01
0x05ff47afada98a98982113758878f9a8b9fdda0a000000000000000000000645,mainnet,weETH/rETH,0,0,0,0,0,0,1666.35 (143.49%),1246.52 (14.15%),639.38 (7.12%),3856.99 (10.52%),9796.45 (11.66%),15645.37 (20.82%),9232.76 (11.34%),12956.37 (9.42%),20480.13 (14.56%),13632.59 (14.31%),13903.00 (12.82%),14756.40 (15.63%),14211.42 (14.61%),14102.33 (13.80%),483.03 (2.36%)
0x09b03b7cbb19b3dae94f884cf60dbc3c99a3947b00000000000000000000066c,mainnet,pyUSD/sDOLA BSP,0,0,0,0,0,0,0,0,0,0,0,0,-11.77 (-100.00%),-411.17 (-100.00%),-882.37 (-100.00%),-920.67 (-100.00%),-654.12 (-100.00%),-1041.32 (-100.00%),-2765.48 (-100.00%),0,0
0x0c659734f1eef9c63b7ebdf78a164cdd745586db000000000000000000000046,base,USDC/USDbC/axlUSDC,8429.78 (991.03%),8377.46 (1609.04%),14924.33 (505.26%),8875.33 (1606.37%),6289.28 (1758.80%),5010.99 (1391.75%),5414.30 (2229.21%),3487.34 (2900.56%),3570.52 (2592.59%),3970.02 (2930.34%),4800.49 (2612.94%),6669.76 (2617.85%),6707.67 (2061.43%),6071.22 (1228.22%),4702.26 (225.11%),5004.15 (622.03%),6424.69 (1111.35%),13030.86 (2684.54%),5299.85 (2611.50%),7183.16 (4930.45%),11981.36 (12923.95%)
0x0c8972437a38b389ec83d1e666b69b8a4fcf8bfd00000000000000000000049e,arbitrum,wstETH/rETH/sfrxETH,-0.06 (-100.00%),-0.07 (-100.00%),-0.05 (-100.00%),-0.04 (-100.00%),0,-129.73 (-100.00%),-4329.99 (-100.00%),-8748.08 (-100.00%),-13082.70 (-100.00%),-10368.54 (-100.00%),-6884.44 (-100.00%),-2773.57 (-100.00%),-899.14 (-100.00%),0,0,0,0,0,0,0,0
0x125bc5a031b2db6733bfa35d914ffa428095978b000200000000000000000514,arbitrum,ECLP-AUSDC-AUSDT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-221.03 (-100.00%),-611.20 (-100.00%),-103.17 (-100.00%),2139.47 (270.91%),2204.87 (264.19%),-1205.49 (-100.00%)
0x127ecc2318d002664cc4515c9f2b22b09b6aea85000200000000000000000602,mainnet,ECLP-swETH-wstETH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x14abd18d1fa335e9f630a658a2799b33208763fa00020000000000000000051f,arbitrum,2CLP-AUSDT-USDT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x1cce5169bde03f3d5ad0206f6bd057953539dae600020000000000000000062b,mainnet,ECLP-GYD-sDAI,0,0,0,0,0,0,0,0,0,0,0,0,4366.74 (inf),-763.12 (-15.74%),-2561.55 (-48.63%),-4298.40 (-100.00%),-2639.26 (-53.10%),-3211.16 (-100.00%),-741.44 (-24.33%),-644.42 (-22.52%),1651.49 (258.30%)
0x1d0a8a31cdb04efac3153237526fb15cc65a252000000000000000000000000f,zkevm,B-rETH-STABLE,0,0,-5128.28 (-100.00%),-244.47 (-100.00%),-286.47 (-100.00%),-348.27 (-100.00%),-238.69 (-100.00%),-252.14 (-100.00%),-345.34 (-100.00%),0,0,0,0,0,0,0,0,0,0,0,0
0x1e19cf2d73a72ef1332c882f20534b6519be0276000200000000000000000112,mainnet,B-rETH-STABLE,2940.56 (7.58%),2962.80 (3.87%),16940.67 (20.79%),1252.67 (1.16%),7585.61 (7.72%),16067.68 (19.95%),-20075.49 (-15.68%),3706.93 (4.29%),30.87 (0.04%),-2306.08 (-1.94%),4620.52 (3.77%),14026.21 (8.29%),-4061.27 (-2.96%),3340.13 (3.70%),2380.31 (3.08%),3690.64 (6.52%),4272.33 (5.74%),4853.93 (8.24%),-530.59 (-0.86%),17122.74 (37.30%),-4367.34 (-8.87%)
0x1ee442b5326009bb18f2f472d3e0061513d1a0ff000200000000000000000464,mainnet,50rETH-50BADGER,-15355.99 (-100.00%),-3652.54 (-100.00%),-59534.86 (-100.00%),-27171.70 (-100.00%),-3461.79 (-100.00%),-306.49 (-100.00%),-663.88 (-100.00%),-100.63 (-100.00%),0,0,-63.02 (-100.00%),0,0,0,-187.21 (-100.00%),-21.11 (-100.00%),0,0,0,0,0
0x260dbd54d87a10a0fc9d08622ebc969a3bf4e6bb000200000000000000000536,arbitrum,jitoSOL/wstETH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-156.92 (-100.00%),-78.46 (-100.00%),-626.03 (-100.00%),0,0,0
0x264062ca46a1322c2e6464471764089e01f22f1900000000000000000000066b,mainnet,sDOLA-DOLA BSP,0,0,0,0,0,0,0,0,0,0,-28.39 (-100.00%),-532.63 (-100.00%),195.61 (3.39%),117.71 (1.77%),171.66 (3.37%),238.87 (5.68%),-163.40 (-2.02%),421.86 (7.63%),1059.99 (18.82%),-801.42 (-13.79%),205.62 (2.89%)
0x2ce4457acac29da4736ae6f5cd9f583a6b335c270000000000000000000004dc,arbitrum,sFRAX/4POOL,0,0,0,0,0,0,-251.69 (-100.00%),2960.99 (47.57%),7577.49 (90.01%),9590.82 (119.52%),5097.94 (53.03%),3200.99 (45.71%),3216.72 (36.79%),2079.77 (40.14%),2754.45 (34.66%),1013.95 (21.29%),707.37 (18.48%),786.10 (20.56%),154.16 (3.50%),787.83 (25.06%),501.45 (16.07%)
0x2d6ced12420a9af5a83765a8c48be2afcd1a8feb000000000000000000000500,arbitrum,cbETH/rETH/wstETH,0,0,0,0,0,0,0,0,0,0,-9967.14 (-100.00%),-12328.85 (-54.42%),-2075.64 (-11.74%),8916.45 (62.55%),5236.22 (55.31%),3183.91 (41.77%),2774.59 (41.70%),3661.68 (37.30%),1502.07 (21.21%),3075.69 (44.57%),2219.91 (30.21%)
0x2e848426aec6dbf2260535a5bea048ed94d9ff3d000000000000000000000536,mainnet,wbETH-wstETH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16931.08 (-100.00%),-22.83 (-100.00%),-64.01 (-100.00%),-15.27 (-100.00%),0,0,0
0x2f0cdf8596be980ef24924ca7bf54e630ca526b2000000000000000000000529,arbitrum,sUSDe/USDC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x32df62dc3aed2cd6224193052ce665dc181658410002000000000000000003bd,arbitrum,RDNT-WETH,13512.99 (17.99%),10556.93 (23.41%),14324.90 (12.35%),12891.00 (12.96%),13333.82 (15.87%),20920.93 (19.40%),36850.03 (21.62%),17166.91 (9.57%),27733.57 (39.68%),13006.02 (52.22%),25901.85 (17.37%),28228.55 (17.49%),14533.11 (14.76%),18086.59 (22.92%),10914.24 (14.54%),792.54 (1.96%),1997.22 (4.74%),1101.44 (1.16%),4080.18 (6.77%),5423.30 (17.80%),6840.15 (16.57%)
0x35c5c8c7b77942f9d44b535fa590d8b503b2b00c00000000000000000000060d,mainnet,DUSD/sDAI,0,0,0,0,-0.13 (-100.00%),-47.42 (-100.00%),-100.30 (-100.00%),-10.78 (-100.00%),0,0,0,0,0,0,0,0,0,0,0,0,0
