pool_id,chain,symbol,earned_fees,fees_to_vebal,fees_to_dao,total_incentives,aura_incentives,bal_incentives,redirected_incentives,reroute_incentives
0xcd78a20c597e367a4e478a2411ceb790604d7c8f000000000000000000000c22,polygon,maticX-WMATIC-BPT,1485.8266,1348.5906,726.1642,2244.7401,1202.8230,1041.9171,169.9853,0
0xf0ad209e2e969eaaa8c882aac71f02d8a047d5c2000200000000000000000b49,polygon,ECLP-WMATIC-stMATIC,510.6717,463.5043,249.5792,771.5067,0.0000,771.5067,58.4232,0
0x42ed016f826165c2e5976fe5bc3df540c5ad0af700000000000000000000058b,mainnet,wstETH-rETH-sfrxETH-BPT,18231.8065,7487.0959,4031.5132,11652.8183,5299.8174,6353.0008,134.2091,0
0x93d199263632a4ef4bb438f1feb99e57b4b5f0bd0000000000000000000005c2,mainnet,wstETH-WETH-BPT,15508.3081,6368.6608,3429.2789,9912.1004,4605.6516,5306.4488,114.1607,0
0x1e19cf2d73a72ef1332c882f20534b6519be0276000200000000000000000112,mainnet,B-rETH-STABLE,14350.5377,5893.2094,3173.2666,9172.1140,0.0000,9172.1140,105.6381,0
0xdfe6e7e18f6cc65fa13c8d8966013d4fda74b6ba000000000000000000000558,mainnet,ankrETH/wstETH,3621.1073,1487.0484,800.7183,2314.4226,1575.8393,738.5833,26.6559,0
0xe7e2c68d3b13d905bbb636709cf4dfd21076b9d20000000000000000000005ca,mainnet,swETH-WETH-BPT,3231.3250,1326.9799,714.5276,2065.2941,1476.4916,588.8026,23.7866,0
0x3ff3a210e57cfe679d9ad1e9ba6453a716c56a2e0002000000000000000005d5,mainnet,STG/USDC,2740.4460,1125.3949,605.9819,1751.5499,1351.3762,400.1737,20.1731,0
0x36be1e97ea98ab43b4debf92742517266f5731a3000200000000000000000466,mainnet,50wstETH-50ACX,2614.0757,1073.4995,578.0382,1670.7806,1319.1669,351.6137,19.2429,0
0xf16aee6a71af1a9bc8f56975a4c2705ca7a782bc0002000000000000000004bb,mainnet,20WETH-80ALCX,2541.7133,1043.7831,562.0371,1624.5304,1300.7232,323.8072,18.7102,0
0x9f9d900462492d4c21e9523ca95a7cd86142f298000200000000000000000462,mainnet,50rETH-50RPL,1846.9809,758.4834,408.4142,1180.4937,0.0000,1180.4937,13.5961,0
0xb08885e6026bab4333a80024ec25a1a3e1ff2b8a000200000000000000000445,mainnet,B-staFiETH-WETH-Stable,918.6879,377.2695,203.1451,587.1773,0.0000,587.1773,6.7627,0
0x8353157092ed8be69a9df8f95af097bbf33cb2af0000000000000000000005d9,mainnet,GHO/USDT/USDC,814.7077,334.5689,180.1525,520.7186,0.0000,520.7186,5.9973,0
0xbad20c15a773bf03ab973302f61fabcea5101f0a000000000000000000000034,gnosis,bb-WETH-wstETH,0.0000,2701.2778,1454.5342,4155.8120,1657.2603,2498.5516,0.0000,0
0x0c659734f1eef9c63b7ebdf78a164cdd745586db000000000000000000000046,base,USDC/USDbC/axlUSDC,506.9270,1900.9178,1023.5711,2924.4889,1166.2317,1758.2573,0.0000,0
0xfd2620c9cfcec7d152467633b3b0ca338d3d78cc00000000000000000000001c,avalanche,sAVAX-WAVAX-BPT,0.0000,3141.2964,1691.4673,5120.7270,2042.0505,3078.6765,287.9633,0
0x32df62dc3aed2cd6224193052ce665dc181658410002000000000000000003bd,arbitrum,RDNT-WETH,16739.1613,15633.2450,8417.9011,24051.1461,9732.5057,14318.6404,0.0000,0
0x3fd4954a851ead144c2ff72b1f5a38ea5976bd54000000000000000000000480,arbitrum,ankrETH/wstETH-BPT,3990.1399,3726.5209,2006.5882,5733.1090,2427.6140,3305.4950,0.0000,0
0x423a1323c871abc9d89eb06855bf5347048fc4a5000000000000000000000496,arbitrum,4POOL,493.4127,460.8141,248.1307,708.9448,0.0000,708.9448,0.0000,0
