pool_id,chain,symbol,earned_fees,fees_to_vebal,fees_to_dao,total_incentives,aura_incentives,bal_incentives,redirected_incentives,reroute_incentives,last_join_exit
0xcd78a20c597e367a4e478a2411ceb790604d7c8f000000000000000000000c22,polygon,maticX-WMATIC-BPT,3065.6301,6134.9930,3303.4578,9438.4508,4846.4511,4591.9998,0.0000,0,1724276877
0xf0ad209e2e969eaaa8c882aac71f02d8a047d5c2000200000000000000000b49,polygon,ECLP-WMATIC-stMATIC,854.1613,1709.3628,920.4261,2629.7889,1500.5789,1129.2100,0.0000,0,1724276653
0xee278d943584dd8640eaf4cc6c7a5c80c0073e85000200000000000000000bc7,polygon,ECLP-WMATIC-MATICX,275.3055,550.9463,296.6634,847.6097,0.0000,847.6097,0.0000,0,1724254278
0x1e19cf2d73a72ef1332c882f20534b6519be0276000200000000000000000112,mainnet,B-rETH-STABLE,36055.5520,12978.2500,6988.2884,20284.1563,0.0000,20284.1563,317.6179,0,1724201903
0x42ed016f826165c2e5976fe5bc3df540c5ad0af700000000000000000000058b,mainnet,wstETH-rETH-sfrxETH-BPT,21650.3929,7793.0914,4196.2800,12180.0924,7355.6717,4824.4207,190.7211,0,1723917863
0x3ff3a210e57cfe679d9ad1e9ba6453a716c56a2e0002000000000000000005d5,mainnet,STG/USDC,18496.6404,6657.8934,3585.0195,10405.8522,6483.7852,3922.0670,162.9393,0,1723538879
0x93d199263632a4ef4bb438f1feb99e57b4b5f0bd0000000000000000000005c2,mainnet,wstETH-WETH-BPT,17495.5467,6297.5482,3390.9875,9842.6563,6207.0228,3635.6335,154.1205,0,1724253467
0xdfe6e7e18f6cc65fa13c8d8966013d4fda74b6ba000000000000000000000558,mainnet,ankrETH/wstETH,8216.3461,2957.4861,1592.4925,4622.3575,3641.6945,980.6629,72.3788,0,1724170067
0x36be1e97ea98ab43b4debf92742517266f5731a3000200000000000000000466,mainnet,50wstETH-50ACX,6680.1556,2404.5320,1294.7480,3758.1264,3216.9992,541.1271,58.8463,0,1724181791
0xcf7b51ce5755513d4be016b0e28d6edeffa1d52a000200000000000000000617,mainnet,80RDNT-20wETH,4707.4979,1694.4709,912.4074,2648.3473,2648.3473,0.0000,41.4689,0,1724262335
0xe7e2c68d3b13d905bbb636709cf4dfd21076b9d20000000000000000000005ca,mainnet,swETH-WETH-BPT,2857.1083,1028.4204,553.7648,1607.3539,1607.3539,0.0000,25.1686,0,1723196687
0xf16aee6a71af1a9bc8f56975a4c2705ca7a782bc0002000000000000000004bb,mainnet,20WETH-80ALCX,2809.5346,1011.2962,544.5441,1580.5898,1580.5898,0.0000,24.7495,0,1724233451
0xb08885e6026bab4333a80024ec25a1a3e1ff2b8a000200000000000000000445,mainnet,B-staFiETH-WETH-Stable,1621.2348,583.5659,314.2278,912.0753,0.0000,912.0753,14.2817,0,1723391939
0xf01b0684c98cd7ada480bfdf6e43876422fa1fc10002000000000000000005de,mainnet,ECLP-wstETH-wETH,1020.0770,367.1783,197.7114,573.8756,0.0000,573.8756,8.9860,0,1724009483
0xb3b675a9a3cb0df8f66caf08549371bfb76a9867000200000000000000000611,mainnet,ECLP-mevETH-wETH,953.0789,343.0622,184.7258,536.1837,0.0000,536.1837,8.3958,0,1719912467
0xbad20c15a773bf03ab973302f61fabcea5101f0a000000000000000000000034,gnosis,bb-WETH-wstETH,0.0000,9589.5719,5163.6156,14753.1875,7249.9237,7503.2638,0.0000,0,1724251055
0x0c659734f1eef9c63b7ebdf78a164cdd745586db000000000000000000000046,base,USDC/USDbC/axlUSDC,175.5933,1125.6795,606.1351,1731.8146,851.0380,880.7765,0.0000,0,1723974903
0xc13546b97b9b1b15372368dc06529d7191081f5b00000000000000000000001d,avalanche,ggAVAX-WAVAX-BPT,0.0000,1010.5672,544.1515,1554.7187,0.0000,1554.7187,0.0000,0,1724063154
0xfd2620c9cfcec7d152467633b3b0ca338d3d78cc00000000000000000000001c,avalanche,sAVAX-WAVAX-BPT,0.0000,5745.2810,3093.6128,8838.8938,5107.5673,3731.3265,0.0000,0,1724277707
0x32df62dc3aed2cd6224193052ce665dc181658410002000000000000000003bd,arbitrum,RDNT-WETH,30075.6012,21383.2975,11514.0833,32901.1877,16520.7074,16380.4802,3.8068,0,1724281574
0x3fd4954a851ead144c2ff72b1f5a38ea5976bd54000000000000000000000480,arbitrum,ankrETH/wstETH-BPT,5064.7906,3600.9895,1938.9944,5540.6250,3075.3423,2465.2826,0.6411,0,1724281266
0x423a1323c871abc9d89eb06855bf5347048fc4a5000000000000000000000496,arbitrum,4POOL,1311.8045,932.6732,502.2086,1435.0478,0.0000,1435.0478,0.1660,0,1724281485
