pool_id,chain,symbol,last_join_exit,earned_fees,total_distribtuion,fees_to_vebal,fees_to_dao,total_incentives,aura_incentives,bal_incentives,redirected_incentives,reroute_incentives
0xcd78a20c597e367a4e478a2411ceb790604d7c8f000000000000000000000c22,polygon,maticX-WMATIC-BPT,1726252380,5429.5989,10437.6356,3392.2316,1826.5862,5218.8178,3551.9069,1666.9109,287.5814,0
0xf0ad209e2e969eaaa8c882aac71f02d8a047d5c2000200000000000000000b49,polygon,ECLP-WMATIC-stMATIC,1726224033,316.6451,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-287.5814,0
0xee278d943584dd8640eaf4cc6c7a5c80c0073e85000200000000000000000bc7,polygon,ECLP-WMATIC-MATICX,1725899055,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0x93d199263632a4ef4bb438f1feb99e57b4b5f0bd0000000000000000000005c2,mainnet,wstETH-WETH-BPT,1726235699,14386.2462,29974.8465,9741.8251,5245.5981,14987.4233,10809.4589,4177.9644,233.2699,0
0x596192bb6e41802428ac943d2f1476c1af25cc0e000000000000000000000659,mainnet,ezETH-WETH-BPT,1726215239,12136.8800,25288.1197,8218.6389,4425.4209,12644.0598,9214.5749,3429.4849,196.7969,0
0x1e19cf2d73a72ef1332c882f20534b6519be0276000200000000000000000112,mainnet,B-rETH-STABLE,1726243871,12084.3826,25178.7372,8183.0896,4406.2790,12589.3686,0.0000,12589.3686,195.9456,0
0x36be1e97ea98ab43b4debf92742517266f5731a3000200000000000000000466,mainnet,50wstETH-50ACX,1726210631,7959.1661,16583.5326,5389.6481,2902.1182,8291.7663,6252.4211,2039.3452,129.0561,0
0x848a5564158d84b8a8fb68ab5d004fae11619a5400000000000000000000066a,mainnet,weETH/ezETH/rswETH,1726226423,5956.7745,12411.3961,4033.7037,2171.9943,6205.6980,4832.6512,1373.0468,96.5878,0
0x9f9d900462492d4c21e9523ca95a7cd86142f298000200000000000000000462,mainnet,50rETH-50RPL,1725923423,4671.0897,9732.5734,3163.0864,1703.2003,4866.2867,3921.0531,945.2336,75.7407,0
0x05ff47afada98a98982113758878f9a8b9fdda0a000000000000000000000645,mainnet,weETH/rETH,1726221239,4375.9510,9117.6293,2963.2295,1595.5851,4558.8146,3711.7888,847.0258,70.9551,0
0x8353157092ed8be69a9df8f95af097bbf33cb2af0000000000000000000005d9,mainnet,GHO/USDT/USDC,1726217291,4104.9685,8553.0165,2779.7304,1496.7779,4276.5083,3519.6522,756.8560,66.5612,0
0x42ed016f826165c2e5976fe5bc3df540c5ad0af700000000000000000000058b,mainnet,wstETH-rETH-sfrxETH-BPT,1725932963,4090.3017,8522.4570,2769.7985,1491.4300,4261.2285,3509.2529,751.9756,66.3234,0
0xcf7b51ce5755513d4be016b0e28d6edeffa1d52a000200000000000000000617,mainnet,80RDNT-20wETH,1726203263,3781.2718,7878.5697,2560.5351,1378.7497,3939.2848,3290.1393,649.1455,61.3125,0
0x63e0d47a6964ad1565345da9bfa66659f4983f02000000000000000000000681,mainnet,pufETH/wstETH,1726227275,3638.4610,7581.0123,2463.8290,1326.6771,3790.5061,3188.8811,601.6250,58.9969,0
0x7761b6e0daa04e70637d81f1da7d186c205c2ade00000000000000000000065d,mainnet,rsETH / ETHx,1726220819,2393.5146,4987.0712,1620.7981,872.7375,2493.5356,2306.1681,187.3675,38.8103,0
0x3ff3a210e57cfe679d9ad1e9ba6453a716c56a2e0002000000000000000005d5,mainnet,STG/USDC,1725962315,2202.6044,4589.2950,1491.5209,803.1266,2294.6475,2170.8056,123.8419,35.7148,0
0xf16aee6a71af1a9bc8f56975a4c2705ca7a782bc0002000000000000000004bb,mainnet,20WETH-80ALCX,1726222847,1709.1168,3561.0759,1157.3497,623.1883,1780.5380,1780.5380,0.0000,27.7130,0
0x4216d5900a6109bba48418b5e2ab6cc4e61cf4770000000000000000000006a1,mainnet,trenSTETH,1726250423,1665.2483,3469.6724,1127.6435,607.1927,1734.8362,1734.8362,0.0000,27.0016,0
0x49cbd67651fbabce12d1df18499896ec87bef46f00000000000000000000064a,mainnet,sDAI/3Pool,1725948071,1244.2710,2592.5340,842.5735,453.6934,1296.2670,1296.2670,0.0000,20.1756,0
0xdfe6e7e18f6cc65fa13c8d8966013d4fda74b6ba000000000000000000000558,mainnet,ankrETH/wstETH,1724690699,1073.3237,2236.3522,726.8145,391.3616,1118.1761,1118.1761,0.0000,17.4037,0
0xf01b0684c98cd7ada480bfdf6e43876422fa1fc10002000000000000000005de,mainnet,ECLP-wstETH-wETH,1725833399,931.2136,1940.2549,630.5828,339.5446,970.1274,970.1274,0.0000,15.0994,0
0x264062ca46a1322c2e6464471764089e01f22f1900000000000000000000066b,mainnet,sDOLA-DOLA BSP,1725510947,769.2213,1602.7314,520.8877,280.4780,801.3657,0.0000,801.3657,12.4728,0
0xf7a826d47c8e02835d94fb0aa40f0cc9505cb1340002000000000000000005e0,mainnet,ECLP-wstETH-cbETH,1725833915,684.9445,1427.1343,463.8186,249.7485,713.5672,0.0000,713.5672,11.1062,0
0xe7e2c68d3b13d905bbb636709cf4dfd21076b9d20000000000000000000005ca,mainnet,swETH-WETH-BPT,1725613295,566.2980,1179.9254,383.4757,206.4869,589.9627,0.0000,589.9627,9.1824,0
0x1cce5169bde03f3d5ad0206f6bd057953539dae600020000000000000000062b,mainnet,ECLP-GYD-sDAI,1726044923,498.5068,1038.6772,337.5701,181.7685,519.3386,0.0000,519.3386,8.0832,0
0x740a691bd31c4176bcb6b8a7a40f1a723537d99d0000000000000000000006b6,mainnet,cdcETH/wstETH,1725949427,434.9723,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-446.0960,0
0xdd59f89b5b07b7844d72996fc9d83d81acc8219600000000000000000000059e,mainnet,uniETH-WETH,1725949163,355.3666,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-364.4546,0
0x47a4f5440ab097cf3ec7abeedf1afecc5749a4e200000000000000000000068d,mainnet,aETH/wstETH,1725947075,261.4345,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-268.1203,0
0x8d93b853849b9884e2bb413444ec23eb5366ee910002000000000000000006b3,mainnet,ECLP-sUSDe-GYD,1726230899,225.3995,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-231.1638,0
0xb08885e6026bab4333a80024ec25a1a3e1ff2b8a000200000000000000000445,mainnet,B-staFiETH-WETH-Stable,1725949067,112.1362,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-115.0039,0
0xabc7d08ef73fe3fb67efd900f4471cca788b089900000000000000000000069d,mainnet,B-baoETH-rETH-BPT,1726118795,27.8478,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-28.5600,0
0x41fdbea2e52790c0a1dc374f07b628741f2e062d0002000000000000000006be,mainnet,ECLP-stdeUSD-deUSD,1726158071,20.3889,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-20.9104,0
0x40c806394d03d350420d13cd7d1de1c806f349560000000000000000000005f5,mainnet,qETH/WETH,1720001555,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0xb3b675a9a3cb0df8f66caf08549371bfb76a9867000200000000000000000611,mainnet,ECLP-mevETH-wETH,1719912467,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0xb819feef8f0fcdc268afe14162983a69f6bf179e000000000000000000000689,mainnet,sUSDe/USDC,1726128791,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,0
0xb91159aa527d4769cb9faf3e4adb760c7e8c8ea700000000000000000000067c,mainnet,ETHx/wstETH,1726253147,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,0
0xdb1f2e1655477d08fb0992f82eede0053b8cd3820000000000000000000006ae,mainnet,shezETH/wstETH,1726182035,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,0
0xed0df9cd16d806e8a523805e53cf0c56e6db4d1d000000000000000000000687,mainnet,ShezUSD/sDAI,1726123883,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,0
0xff42a9af956617e4c3532ef2fc7567465efe4909000200000000000000000672,mainnet,50KEP/50rsETH,1724635055,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0x71e1179c5e197fa551beec85ca2ef8693c61b85b0002000000000000000000a0,gnosis,ECLP-rETH-WETH,1726256595,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0x8dd4df4ce580b9644437f3375e54f1ab0980822800020000000000000000009c,gnosis,ECLP-wstETH-WETH,1726256140,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0xbad20c15a773bf03ab973302f61fabcea5101f0a000000000000000000000034,gnosis,bb-WETH-wstETH,1726217020,0.0000,21563.1230,7008.0150,3773.5465,10781.5615,7337.8884,3443.6731,0.0000,0
0x0c659734f1eef9c63b7ebdf78a164cdd745586db000000000000000000000046,base,USDC/USDbC/axlUSDC,1726160799,11.9808,2366.9042,769.2439,414.2082,1183.4521,805.4528,377.9993,0.0000,0
0xab99a3e856deb448ed99713dfce62f937e2d4d74000000000000000000000118,base,weETH/wETH,1726248847,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,0
0xc771c1a5905420daec317b154eb13e4198ba97d0000000000000000000000023,base,rETH-WETH-BPT,1726248015,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,0
0xc13546b97b9b1b15372368dc06529d7191081f5b00000000000000000000001d,avalanche,ggAVAX-WAVAX-BPT,1725642254,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-95.9900,0
0xfd2620c9cfcec7d152467633b3b0ca338d3d78cc00000000000000000000001c,avalanche,sAVAX-WAVAX-BPT,1726256157,0.0000,5509.9917,1790.7473,964.2485,2754.9958,1875.0393,879.9565,95.9900,0
0x32df62dc3aed2cd6224193052ce665dc181658410002000000000000000003bd,arbitrum,RDNT-WETH,1726252982,28348.9228,43110.6215,14010.9520,7544.3588,21555.3108,14953.7872,6601.5236,2008.0134,0
0xcdcef9765d369954a4a936064535710f7235110a000200000000000000000558,arbitrum,ECLP-weETH-wstETH,1726210875,2682.3466,4079.0837,1325.7022,713.8397,2039.5419,1671.4316,368.1103,189.9962,0
0x8d58755ca11d2c7273fed72aeb637e38a66c228c00000000000000000000058c,arbitrum,sUSX/USDC,1726199937,2511.5488,3819.3490,1241.2884,668.3861,1909.6745,1583.0444,326.6301,177.8982,0
0x7b54c44fbe6db6d97fd22b8756f89c0af16202cc00000000000000000000053c,arbitrum,ETHx/wstETH,1726238833,2492.7800,3790.8070,1232.0123,663.3912,1895.4035,1573.3316,322.0719,176.5688,0
0x2d6ced12420a9af5a83765a8c48be2afcd1a8feb000000000000000000000500,arbitrum,cbETH/rETH/wstETH,1726238509,1912.5209,2908.3985,945.2295,508.9697,1454.1993,1273.0497,181.1495,135.4679,0
0x2ce4457acac29da4736ae6f5cd9f583a6b335c270000000000000000000004dc,arbitrum,sFRAX/4POOL,1726254541,1684.9404,2562.3135,832.7519,448.4049,1281.1568,1155.2777,125.8791,119.3478,0
0xef0c116a2818a5b1a5d836a291856a321f43c2fb00020000000000000000053a,arbitrum,ECLP-WOETH-WETH,1726217713,1163.4403,1769.2606,575.0097,309.6206,884.6303,0.0000,884.6303,82.4089,0
0xd0ec47c54ca5e20aaae4616c25c825c7f48d40690000000000000000000004ef,arbitrum,rETH/wETH BPT,1726237853,1068.3359,1624.6340,528.0061,284.3110,812.3170,0.0000,812.3170,75.6725,0
0x7967fa58b9501600d96bd843173b9334983ee6e600020000000000000000056e,arbitrum,ECLP-wstETH-WETH,1726217460,1053.2038,1601.6224,520.5273,280.2839,800.8112,0.0000,800.8112,74.6006,0
0x3fd4954a851ead144c2ff72b1f5a38ea5976bd54000000000000000000000480,arbitrum,ankrETH/wstETH-BPT,1726217514,679.9006,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-468.8086,0
0xa899c63ba9ff275d6bfc83e43ee8e58ff6987584000200000000000000000594,arbitrum,ECLP-rETH-wstETH,1726218411,589.0015,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-406.1314,0
0x59743f1812bb85db83e9e4ee061d124aaa64290000000000000000000000052b,arbitrum,sUSDe/sFRAX,1726251294,553.9603,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-381.9696,0
0x7272163a931dac5bbe1cb5fefaf959bb65f7346f000200000000000000000549,arbitrum,ECLP-GYD-AUSDT,1726248511,419.1731,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-289.0305,0
0x69d9bc07a19caad9ae4ca40af18d5a688839a29900020000000000000000058e,arbitrum,ECLP-gUSDC-AUSDC,1726218901,408.6763,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-281.7926,0
0x125bc5a031b2db6733bfa35d914ffa428095978b000200000000000000000514,arbitrum,ECLP-AUSDC-AUSDT,1726177296,381.3451,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-262.9470,0
0x423a1323c871abc9d89eb06855bf5347048fc4a5000000000000000000000496,arbitrum,4POOL,1726254382,306.9406,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-211.6433,0
0xdfa752ca3ff49d4b6dbe08e2d5a111f51773d3950000000000000000000004e8,arbitrum,sFRAX/FRAX,1726245675,295.5500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-203.7892,0
0x6e822c64c00393b2078f2a5bb75c575ab505b55c000200000000000000000548,arbitrum,ECLP-GYD-AUSDC,1726247429,255.6508,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-176.2777,0
0xdeeaf8b0a8cf26217261b813e085418c7dd8f1ee00020000000000000000058f,arbitrum,ECLP-sUSDe-GYD,1726249253,216.2173,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-149.0873,0
0x315dd595e82bdc0c194f3a38a08fde480d7e5d2100020000000000000000056a,arbitrum,ECLP-wUSDM-GYD,1726233036,105.6104,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-72.8210,0
0x71c64ac8ec1da03f8a05c3cfeb6493e6dad54a6f000200000000000000000592,arbitrum,ECLP-wUSDM-USDC-rh,1726216855,97.9571,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-67.5439,0
0x36c2f879f446c3b6533f9703745c0504f3a84885000200000000000000000591,arbitrum,ECLP-sFRAX-aFRAX,1726211670,97.8426,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-67.4650,0
0xff38cc0ce0de4476c5a3e78675b48420a851035b000200000000000000000593,arbitrum,ECLP-GHO-GYD-rh,1726219788,0.9678,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.6673,0
0x46472cba35e6800012aa9fcc7939ff07478c473e00020000000000000000056c,arbitrum,ECLP-GHO-AUSDC,1726202223,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0x90e6cb5249f5e1572afbf8a96d8a1ca6acffd73900000000000000000000055c,arbitrum,rsETH/wETH,1726242991,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,0
0x9791d590788598535278552eecd4b211bfc790cb000000000000000000000498,arbitrum,wstETH-WETH-BPT,1726236676,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,0
0xb61371ab661b1acec81c699854d2f911070c059e000000000000000000000516,arbitrum,ezETH/wstETH,1726251085,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,0
0xb8cb384e65096386c1edaaf784e842c957fa3645000000000000000000000571,arbitrum,inETH/wstETH,1726226350,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,0
0xc2598280bfea1fe18dfcabd21c7165c40c6859d30000000000000000000004f3,arbitrum,wstETH/sfrxETH,1726232109,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,0
0xf13758d6edd1937dcb3f4fe75889b579d400299a000000000000000000000595,arbitrum,weETH/wETH,1725824750,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,0
0x9f8ed1acfe0c863381b9081aff2144fc867aa7730002000000000000000004d4,arbitrum,ANKR:ankrETH,1704220032,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
