pool_id,chain,symbol,bpt_price,earned_fees,fees_to_vebal,fees_to_dao,total_incentives,aura_incentives,bal_incentives,redirected_incentives,reroute_incentives,last_join_exit
0xcd78a20c597e367a4e478a2411ceb790604d7c8f000000000000000000000c22,polygon,maticX-WMATIC-BPT,0.3098,1565.7613,6138.7148,8594.2007,1096.0329,0.0000,1096.0329,0.0000,0,1740683115
0x93d199263632a4ef4bb438f1feb99e57b4b5f0bd0000000000000000000005c2,mainnet,wstETH-WETH-BPT,2784.1683,19070.1950,3793.1819,5310.4546,13543.7883,9816.8723,3726.9160,194.6518,0,1740482591
0x1e19cf2d73a72ef1332c882f20534b6519be0276000200000000000000000112,mainnet,B-rETH-STABLE,2779.3656,13352.9763,2655.9911,3718.3875,9483.3789,0.0000,9483.3789,136.2955,0,1740400007
0x596192bb6e41802428ac943d2f1476c1af25cc0e000000000000000000000659,mainnet,ezETH-WETH-BPT,2737.7563,10507.8116,2090.0699,2926.0979,7462.7227,5687.7806,1774.9421,107.2545,0,1740643295
0xc4ce391d82d164c166df9c8336ddf84206b2f812,mainnet,Aave Lido wETH-wstETH,0.0000,7658.1205,1523.2484,2132.5477,5438.8517,4313.5561,1125.2956,78.1674,0,0
0x85b2b559bc2d21104c4defdd6efca8a20343361d,mainnet,Aave GHO/USDT/USDC,0.0000,6893.6683,1371.1940,1919.6716,4895.9323,3944.9096,951.0228,70.3645,0,0
0xb819feef8f0fcdc268afe14162983a69f6bf179e000000000000000000000689,mainnet,sUSDe/USDC,1.0820,6604.5251,1313.6816,1839.1543,4690.5808,3805.4742,885.1065,67.4132,0,1740670151
0x42ed016f826165c2e5976fe5bc3df540c5ad0af700000000000000000000058b,mainnet,wstETH-rETH-sfrxETH-BPT,2759.3243,6323.2842,1257.7410,1760.8375,4490.8415,3669.8497,820.9918,64.5425,0,1740525647
0x36be1e97ea98ab43b4debf92742517266f5731a3000200000000000000000466,mainnet,50wstETH-50ACX,33.7652,6187.1739,1230.6678,1722.9350,4394.1750,3604.2124,789.9626,63.1533,0,1740605471
0x41fdbea2e52790c0a1dc374f07b628741f2e062d0002000000000000000006be,mainnet,ECLP-stdeUSD-deUSD,1.0119,5449.3855,1083.9171,1517.4839,3870.1924,3248.4240,621.7684,55.6226,0,1740660515
0x05ff47afada98a98982113758878f9a8b9fdda0a000000000000000000000645,mainnet,weETH/rETH,2740.7992,3704.3622,736.8210,1031.5494,2630.8645,2406.9105,223.9539,37.8109,0,1740614027
0x10a04efba5b880e169920fd4348527c64fb29d4d,mainnet,B-csUSDC-csUSDL,0.0000,3043.9899,605.4688,847.6563,2161.8633,2161.8633,0.0000,31.0704,0,0
0x3ff3a210e57cfe679d9ad1e9ba6453a716c56a2e0002000000000000000005d5,mainnet,STG/USDC,0.5374,2833.5978,563.6204,789.0686,2012.4413,2012.4413,0.0000,28.9229,0,1740478751
0x63e0d47a6964ad1565345da9bfa66659f4983f02000000000000000000000681,mainnet,pufETH/wstETH,2735.8664,2464.9037,490.2849,686.3988,1750.5922,1750.5922,0.0000,25.1596,0,1740671015
0x4ab7ab316d43345009b2140e0580b072eec7df16,mainnet,ETHx waWETH,0.0000,2335.4202,464.5298,650.3417,1658.6320,1658.6320,0.0000,23.8379,0,0
0x64b84023cfe8397df83c67eaccc2c03ecda4aee5,mainnet,Aave PyUSD-Lido GHO,0.0000,1662.4083,330.6635,462.9289,1180.6542,1180.6542,0.0000,16.9684,0,0
0x8353157092ed8be69a9df8f95af097bbf33cb2af0000000000000000000005d9,mainnet,GHO/USDT/USDC,1.0154,1572.2987,312.7401,437.8362,1116.6577,1116.6577,0.0000,16.0486,0,1740675251
0xdfe6e7e18f6cc65fa13c8d8966013d4fda74b6ba000000000000000000000558,mainnet,ankrETH/wstETH,2756.1186,1288.2950,256.2500,358.7500,914.9563,914.9563,0.0000,13.1498,0,1739676539
0x121edb0badc036f5fc610d015ee14093c142313b,mainnet,rstETH-Lido wstETH,0.0000,1180.1417,234.7376,328.6327,838.1451,0.0000,838.1451,12.0459,0,0
0x848a5564158d84b8a8fb68ab5d004fae11619a5400000000000000000000066a,mainnet,weETH/ezETH/rswETH,2745.5437,1166.6989,232.0638,324.8893,828.5979,0.0000,828.5979,11.9086,0,1740415751
0xf16aee6a71af1a9bc8f56975a4c2705ca7a782bc0002000000000000000004bb,mainnet,20WETH-80ALCX,31.1894,1096.6113,218.1229,305.3720,778.8211,0.0000,778.8211,11.1932,0,1740360275
0x57c23c58b1d8c3292c15becf07c62c5c52457a42,mainnet,osETH-waWETH,0.0000,1035.3582,205.9393,288.3150,735.3188,0.0000,735.3188,10.5680,0,0
