pool_id,chain,symbol,bpt_price,earned_fees,fees_to_vebal,fees_to_dao,total_incentives,aura_incentives,bal_incentives,redirected_incentives,reroute_incentives,last_join_exit
0x85b2b559bc2d21104c4defdd6efca8a20343361d,mainnet,Aave GHO/USDT/USDC,0.0000,34147.3423,4184.6686,5858.5360,23542.7791,15948.6354,7594.1436,108.6350,0,0
0xc4ce391d82d164c166df9c8336ddf84206b2f812,mainnet,Aave Lido wETH-wstETH,0.0000,10011.1346,1226.8387,1717.5742,6902.1457,4774.9708,2127.1749,31.8490,0,0
0x10a04efba5b880e169920fd4348527c64fb29d4d,mainnet,B-csUSDC-csUSDL,0.0000,6987.4837,856.2981,1198.8173,4817.4990,3375.1958,1442.3032,22.2297,0,0
0x64b84023cfe8397df83c67eaccc2c03ecda4aee5,mainnet,Aave PyUSD-Lido GHO,0.0000,5255.3193,644.0258,901.6361,3623.2636,2573.3041,1049.9595,16.7191,0,0
0x4ab7ab316d43345009b2140e0580b072eec7df16,mainnet,ETHx waWETH,0.0000,2443.7728,299.4780,419.2693,1684.8516,1271.7211,413.1305,7.7745,0,0
0x121edb0badc036f5fc610d015ee14093c142313b,mainnet,rstETH-Lido wstETH,0.0000,2125.5949,260.4862,364.6806,1465.4848,1124.4231,341.0617,6.7623,0,0
0x57c23c58b1d8c3292c15becf07c62c5c52457a42,mainnet,osETH-waWETH,0.0000,1087.6416,133.2877,186.6027,749.8711,0.0000,749.8711,3.4602,0,0
0x9ed5175aecb6653c1bdaa19793c16fd74fbeeb37,mainnet,Surge tETH-Lido wstETH,0.0000,731.9722,89.7013,125.5818,504.6560,0.0000,504.6560,2.3287,0,0
0xf028ac624074d6793c36dc8a06ecec0f5a39a718,mainnet,Steak USDR-USDQ-USDT,0.0000,274.9009,33.6884,47.1638,0.0000,0.0000,0.0000,-188.6550,0,0
0x2b261c98a81cfda61bee7bfcf941a3d336be7957,mainnet,Surge slpETH-gtWETHe,0.0000,11.3788,1.3944,1.9522,0.0000,0.0000,0.0000,-7.8089,0,0
0x2f0508c56cfc35499f79f818dfc34113fe7f6d50,mainnet,Surge slpUSD-aUSDC,0.0000,4.8007,0.5883,0.8236,0.0000,0.0000,0.0000,-3.2946,0,0
0x6b31a94029fd7840d780191b6d63fa0d269bd883,mainnet,Surge Fluid wstETH-wETH,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0
0xd1d7fa8871d84d0e77020fc28b7cd5718c446522,gnosis,aGNO/sDAI,0.0000,14822.3325,1852.7916,2593.9082,10375.6328,6966.9127,3408.7200,0.0000,0,0
0x272d6be442e30d7c87390edeb9b96f1e84cecd8d,gnosis,50waWstETH-50waGNO,0.0000,3603.3825,450.4228,630.5919,2522.3677,1693.6910,828.6767,0.0000,0,0
0x6e6bb18449fcf15b79efa2cfa70acf7593088029,gnosis,waWstETH-waWETH,0.0000,2602.0331,325.2541,455.3558,1821.4232,1223.0287,598.3945,0.0000,0,0
0x7ab124ec4029316c2a42f713828ddf2a192b36db,base,Aave USDC-Aave GHO,0.0000,9153.8289,1144.2286,1601.9201,6963.4702,4675.7523,2287.7178,555.7899,0,0
0xb5bfb5adb736ea852bd58fec71db3b356c2a3938,base,Aave wstETH-ezETH,0.0000,511.1784,63.8973,89.4562,0.0000,0.0000,0.0000,-357.8249,0,0
0xacba78d745faae7751c09489d5f15a26eb27f1ad,base,Aave wstETH-wETH,0.0000,259.3378,32.4172,45.3841,0.0000,0.0000,0.0000,-181.5365,0,0
0x5b14ce8de84448e9a6f6af652af318472aa4fcaf,base,Aave GHO-USR,0.0000,23.4694,2.9337,4.1071,0.0000,0.0000,0.0000,-16.4286,0,0
0x9ab907fb3e098103ca048ad26e501bf7b3dfa3eb,base,Surge Aave EURC-GHO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0
0x19b001e6bc2d89154c18e2216eec5c8c6047b6d8,arbitrum,Aave GHO/USDT/USDC,0.0000,17666.3460,2208.2932,3091.6105,14061.9390,9894.9347,4167.0042,1695.4968,0,0
0x7abe8caa137cdb2490a9fa9f8be70cfbb0ff8652,arbitrum,yUSD-AaveUSDC,0.0000,847.1603,105.8950,148.2530,674.3169,0.0000,674.3169,81.3047,0,0
0x10f9e54aeea2fefa124238087dcfd919ba32f14d,arbitrum,Surge eBTC-Aave WBTC,0.0000,688.8677,86.1085,120.5519,0.0000,0.0000,0.0000,-482.2074,0,0
0xa0e5e7728e026bde02810d255a6b94a9aa47b5f9,arbitrum,Gyro eBTC-Aave USDCn,0.0000,596.6936,74.5867,104.4214,0.0000,0.0000,0.0000,-417.6855,0,0
0xc2b0d1a1b4cdda10185859b5a5c543024c2df869,arbitrum,Surge sUSDX USDX aUSDT,0.0000,433.6298,54.2037,75.8852,0.0000,0.0000,0.0000,-303.5409,0,0
0xc072880e1bc0bcddc99db882c7f3e7a839281cf4,arbitrum,Aave wstETH-wETH,0.0000,347.1221,43.3903,60.7464,0.0000,0.0000,0.0000,-242.9855,0,0
0x2ece6781bace5e37386adef7a3d45d0bb05f8fce,arbitrum,Surge orbETH-Aave wETH,0.0000,249.0924,31.1365,43.5912,0.0000,0.0000,0.0000,-174.3646,0,0
0x9c5f17d96ca66748b459788148b7357220f2d100,arbitrum,Aave wstETH/ezETH,0.0000,222.8823,27.8603,39.0044,0.0000,0.0000,0.0000,-156.0176,0,0
0x1a36195044abbad8807ceea78ec645c0c5d09593,arbitrum,osETH-WETH,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0
