pool_id,chain,symbol,bpt_price,earned_fees,fees_to_vebal,fees_to_dao,total_incentives,aura_incentives,bal_incentives,redirected_incentives,reroute_incentives,last_join_exit,is_partner
0x85b2b559bc2d21104c4defdd6efca8a20343361d,mainnet,Aave GHO/USDT/USDC,0.0000,5137.6530,642.2066,899.0893,4149.1551,3331.2561,817.8991,552.7981,0,0,False
0x57c23c58b1d8c3292c15becf07c62c5c52457a42,mainnet,osETH-waWETH,0.0000,1928.6185,241.0773,337.5082,1557.5473,1098.1554,459.3918,207.5143,0,0,False
0xc4ce391d82d164c166df9c8336ddf84206b2f812,mainnet,Aave Lido wETH-wstETH,0.0000,1422.5148,177.8143,248.9401,1148.8192,0.0000,1148.8192,153.0589,0,0,False
0x121edb0badc036f5fc610d015ee14093c142313b,mainnet,rstETH-Lido wstETH,0.0000,426.4591,53.3074,74.6303,0.0000,0.0000,0.0000,-298.5214,0,0,False
0x4ab7ab316d43345009b2140e0580b072eec7df16,mainnet,ETHx waWETH,0.0000,258.0406,32.2551,45.1571,0.0000,0.0000,0.0000,-180.6284,0,0,False
0x9ed5175aecb6653c1bdaa19793c16fd74fbeeb37,mainnet,Surge tETH-Lido wstETH,0.0000,243.8597,30.4825,42.6755,0.0000,0.0000,0.0000,-170.7018,0,0,False
0xe2332649955c7c98389480ab46dd4cb6755ac703,mainnet,75SDEX25AaveLidoETH,0.0000,115.0443,14.3805,20.1328,0.0000,0.0000,0.0000,-80.5310,0,0,False
0x6b31a94029fd7840d780191b6d63fa0d269bd883,mainnet,Surge Fluid wstETH-wETH,0.0000,107.2779,13.4097,18.7736,0.0000,0.0000,0.0000,-75.0945,0,0,False
0xf028ac624074d6793c36dc8a06ecec0f5a39a718,mainnet,Steak USDR-USDQ-USDT,0.0000,71.1738,8.8967,12.4554,0.0000,0.0000,0.0000,-49.8216,0,0,False
0x2b261c98a81cfda61bee7bfcf941a3d336be7957,mainnet,Surge slpETH-gtWETHe,0.0000,46.7378,5.8422,8.1791,0.0000,0.0000,0.0000,-32.7164,0,0,False
0x2f0508c56cfc35499f79f818dfc34113fe7f6d50,mainnet,Surge slpUSD-aUSDC,0.0000,30.7791,3.8474,5.3863,0.0000,0.0000,0.0000,-21.5454,0,0,False
0x6c5972311191097d002e804a9bf97c96c54059ed,mainnet,Surge USDf-aGHO,0.0000,5.4437,0.6805,0.9527,0.0000,0.0000,0.0000,-3.8106,0,0,False
0xd1d7fa8871d84d0e77020fc28b7cd5718c446522,gnosis,aGNO/sDAI,0.0000,1176.0647,147.0081,205.8113,1627.5612,1087.7532,539.8079,804.3159,0,0,False
0x6e6bb18449fcf15b79efa2cfa70acf7593088029,gnosis,waWstETH-waWETH,0.0000,648.6505,81.0813,113.5138,0.0000,0.0000,0.0000,-454.0554,0,0,False
0x272d6be442e30d7c87390edeb9b96f1e84cecd8d,gnosis,50waWstETH-50waGNO,0.0000,500.3722,62.5465,87.5651,0.0000,0.0000,0.0000,-350.2605,0,0,False
0x7ab124ec4029316c2a42f713828ddf2a192b36db,base,Aave USDC-Aave GHO,0.0000,3381.1169,422.6396,591.6955,2673.3611,2260.4783,412.8828,306.5793,0,0,False
0x5b14ce8de84448e9a6f6af652af318472aa4fcaf,base,Aave GHO-USR,0.0000,896.5783,112.0723,156.9012,708.9011,0.0000,708.9011,81.2963,0,0,False
0xb5bfb5adb736ea852bd58fec71db3b356c2a3938,base,Aave wstETH-ezETH,0.0000,239.7363,29.9670,41.9538,0.0000,0.0000,0.0000,-167.8154,0,0,False
0x9ab907fb3e098103ca048ad26e501bf7b3dfa3eb,base,Surge Aave EURC-GHO,0.0000,173.2289,21.6536,30.3151,0.0000,0.0000,0.0000,-121.2602,0,0,False
0xb7b8b3afc010169779c5c2385ec0eb0477fe3347,base,Balancer rETH-Aave wETH,0.0000,116.1596,14.5199,20.3279,0.0000,0.0000,0.0000,-81.3117,0,0,False
0x9972c4f21b5ae6062233031314adbbdda7513ed2,base,Surge Aave wstETH-fWETH,0.0000,24.9832,3.1229,4.3721,0.0000,0.0000,0.0000,-17.4883,0,0,False
0xa4e1b0ddffc0e3aa63dbca462cf370e4f1dc9b8b,avalanche,Gyro AAVE WAVAX-USDC,0.0000,1291.1585,161.3948,225.9527,1214.9202,1214.9202,0.0000,311.1093,0,0,False
0x31ae873544658654ce767bde179fd1bbcb84850b,avalanche,Aave USDT/USDC/AUSD,0.0000,1034.0568,129.2571,180.9599,972.9994,972.9994,0.0000,249.1597,0,0,False
0x22715161201922af61f4ca22e979ef0c6c20be13,avalanche,Surge eK3 savUSD-USDT,0.0000,832.0373,104.0047,145.6065,782.9085,0.0000,782.9085,200.4824,0,0,False
0x99a9a471dbe0dcc6855b4cd4bbabeccb1280f5e8,avalanche,aWAVAX-aSAVAX-ggAVAX,0.0000,789.6999,98.7125,138.1975,743.0710,0.0000,743.0710,190.2810,0,0,False
0x58374fff35d1f3023bbfc646fb9ecd2b180ca0b0,avalanche,Aave wAVAX/BTC.b,0.0000,440.5775,55.0722,77.1011,0.0000,0.0000,0.0000,-308.4042,0,0,False
0x695a7f28c3628187c8264d2cdf7a617036ba8406,avalanche,upAUSD-savUSD-sdeUSD,0.0000,413.4754,51.6844,72.3582,0.0000,0.0000,0.0000,-289.4328,0,0,False
0xc07f45ee39f3fa2abaeb2b3309543e69129e3c21,avalanche,Euler Re7 savUSD-AUSD-USDC,0.0000,255.5699,31.9462,44.7247,0.0000,0.0000,0.0000,-178.8989,0,0,False
0x1c39ebe0ee53b52ab24d3945e9cde9e6c09d0851,avalanche,Aave wAVAX/wETH.e,0.0000,248.9949,31.1244,43.5741,0.0000,0.0000,0.0000,-174.2965,0,0,False
0xc2b0d1a1b4cdda10185859b5a5c543024c2df869,arbitrum,Surge sUSDX USDX aUSDT,0.0000,1089.9899,136.2487,190.7482,1046.9789,1046.9789,0.0000,283.9859,0,0,False
0x19b001e6bc2d89154c18e2216eec5c8c6047b6d8,arbitrum,Aave GHO/USDT/USDC,0.0000,920.4334,115.0542,161.0758,884.1130,0.0000,884.1130,239.8097,0,0,False
0x10f9e54aeea2fefa124238087dcfd919ba32f14d,arbitrum,Surge eBTC-Aave WBTC,0.0000,524.9299,65.6162,91.8627,0.0000,0.0000,0.0000,-367.4509,0,0,False
0xc072880e1bc0bcddc99db882c7f3e7a839281cf4,arbitrum,Aave wstETH-wETH,0.0000,84.6313,10.5789,14.8105,0.0000,0.0000,0.0000,-59.2419,0,0,False
0x1a36195044abbad8807ceea78ec645c0c5d09593,arbitrum,osETH-WETH,0.0000,70.1056,8.7632,12.2685,0.0000,0.0000,0.0000,-49.0739,0,0,False
0x9c5f17d96ca66748b459788148b7357220f2d100,arbitrum,Aave wstETH/ezETH,0.0000,68.3973,8.5497,11.9695,0.0000,0.0000,0.0000,-47.8781,0,0,False
0x5418a64e0cdb20548acb394f5d00a089baf02161,arbitrum,Balancer rETH-Aave wETH,0.0000,0.2153,0.0269,0.0377,0.0000,0.0000,0.0000,-0.1507,0,0,False
