target,platform,amount
0xC859BF9d7B8C557bBd229565124c2C09269F3aEF,balancer,1191.9248
0xC859BF9d7B8C557bBd229565124c2C09269F3aEF,aura,4136.1997
0xFc3f916C28f32DEBA1cc04b1F6011F28a691134c,balancer,670.6457
0xFc3f916C28f32DEBA1cc04b1F6011F28a691134c,aura,0.0000
0x79eF6103A513951a3b25743DB509E267685726B7,balancer,13018.2738
0x79eF6103A513951a3b25743DB509E267685726B7,aura,0.0000
0xCD19892916929F013930ed628547Cc1F439b230e,balancer,0.0000
0xCD19892916929F013930ed628547Cc1F439b230e,aura,1460.9410
0xf7B0751Fea697cf1A541A5f57D11058a8fB794ee,balancer,3847.8366
0xf7B0751Fea697cf1A541A5f57D11058a8fB794ee,aura,9880.5076
0x03ac2920378A51d6CA78813b1d7578Dab08d3760,balancer,820.6321
0x03ac2920378A51d6CA78813b1d7578Dab08d3760,aura,3333.1535
0x0021e01B9fAb840567a8291b864fF783894EabC6,balancer,1622.4381
0x0021e01B9fAb840567a8291b864fF783894EabC6,aura,5067.3304
0xF6A7ad46b00300344C7d4739C0518db70e722DC4,balancer,0.0000
0xF6A7ad46b00300344C7d4739C0518db70e722DC4,aura,1205.2950
0xa8B309a75f0D64ED632d45A003c68A30e59A1D8b,balancer,7886.0148
0xa8B309a75f0D64ED632d45A003c68A30e59A1D8b,aura,18614.4343
0x0B9Ea598757c7D03FB1937cc16bdD2C9D416ff80,balancer,628.8062
0x0B9Ea598757c7D03FB1937cc16bdD2C9D416ff80,aura,2918.2652
0x0BcDb6d9b27Bd62d3De605393902C7d1a2c71Aab,balancer,190.2909
0x0BcDb6d9b27Bd62d3De605393902C7d1a2c71Aab,aura,1969.8273
0x253ED65fff980AEE7E94a0dC57BE304426048b35,balancer,1214.8051
0x253ED65fff980AEE7E94a0dC57BE304426048b35,aura,4185.6860
0x5C0F23A5c1be65Fa710d385814a7Fd1Bda480b1C,balancer,4590.3501
0x5C0F23A5c1be65Fa710d385814a7Fd1Bda480b1C,aura,11486.4442
0x2C2179abce3413E27BDA6917f60ae37F96D01826,balancer,2309.6471
0x2C2179abce3413E27BDA6917f60ae37F96D01826,aura,6553.6523
0xbf65b3fA6c208762eD74e82d4AEfCDDfd0323648,balancer,186.8210
0xbf65b3fA6c208762eD74e82d4AEfCDDfd0323648,aura,1962.3226
0xdf54d2Dd06F8Be3B0c4FfC157bE54EC9cca91F3C,balancer,149.0875
0xdf54d2Dd06F8Be3B0c4FfC157bE54EC9cca91F3C,aura,1880.7112
0x4D4264aebf65Bb1727bb5438E0b2Aaf86186DA50,balancer,0.0000
0x4D4264aebf65Bb1727bb5438E0b2Aaf86186DA50,aura,932.7328
0x183D73dA7adC5011EC3C46e33BB50271e59EC976,balancer,435.8023
0x183D73dA7adC5011EC3C46e33BB50271e59EC976,aura,2500.8290
0xf720e9137baa9C7612e6CA59149a5057ab320cFa,balancer,994.5433
0xf720e9137baa9C7612e6CA59149a5057ab320cFa,aura,3709.2953
0x15C84754c7445D0DF6c613f1490cA07654347c1B,balancer,305.9069
0x15C84754c7445D0DF6c613f1490cA07654347c1B,aura,2219.8862
0xF22BbdAd6B3Dd9314BdF97724DF32b09Ff95C216,balancer,374.5411
0xF22BbdAd6B3Dd9314BdF97724DF32b09Ff95C216,aura,2368.3309
0x62A82FE26E21a8807599374CaC8024fae342eF83,balancer,205.2171
0x62A82FE26E21a8807599374CaC8024fae342eF83,aura,1058.9444
0xBE0967E7510604302b0F974E21A625D9f762B8bb,balancer,364.1528
0xBE0967E7510604302b0F974E21A625D9f762B8bb,aura,1402.6964
0x671eD21480acf63b0AB7297b901505F5BccAfa9b,balancer,701.0258
0x671eD21480acf63b0AB7297b901505F5BccAfa9b,aura,0.0000
0x4D82D6d68aBfC6B2C9A9fEd775cF24Dbf8b014bE,balancer,571.3532
0x4D82D6d68aBfC6B2C9A9fEd775cF24Dbf8b014bE,aura,0.0000
0x3ABa56CeC68987963566a9AA93bb7f7DD28De3F5,balancer,117.7693
0x3ABa56CeC68987963566a9AA93bb7f7DD28De3F5,aura,869.8088
0x058059cb764a98c18B937222eD06C1ad2f174Dce,balancer,345.6448
