target,platform,amount
0x9965713498c74aee49cEf80B2195461F188F24f8,balancer,1096.0329
0x9965713498c74aee49cEf80B2195461F188F24f8,aura,0.0000
0x0d1b58fB1fC10F2160178DE1eAE2d520335ee372,balancer,2228.0460
0x0d1b58fB1fC10F2160178DE1eAE2d520335ee372,aura,4713.0786
0xCD41Bc6DC6e9821C4C36848Ff3397493e458A5d1,balancer,392.4201
0xCD41Bc6DC6e9821C4C36848Ff3397493e458A5d1,aura,830.1026
0xf8A95653CC7ee59AfA2304DcC518c431a15C292C,balancer,400.5989
0xf8A95653CC7ee59AfA2304DcC518c431a15C292C,aura,847.4035
0x8135d6AbFd42707A87A7b94c5CFA3529f9b432AD,balancer,1983.6274
0x8135d6AbFd42707A87A7b94c5CFA3529f9b432AD,aura,4196.0499
0xd75026F8723b94d9a360A282080492d905c6A558,balancer,896.3328
0xd75026F8723b94d9a360A282080492d905c6A558,aura,3620.5184
0x5B5BAD6A124C5f45b4289908bA15Ff0047928648,balancer,815.2197
0x5B5BAD6A124C5f45b4289908bA15Ff0047928648,aura,0.0000
0xf8C85bd74FeE26831336B51A90587145391a27Ba,balancer,1099.6231
0xf8C85bd74FeE26831336B51A90587145391a27Ba,aura,2326.0787
0x1e916950A659Da9813EE34479BFf04C732E03deb,balancer,397.1269
0x1e916950A659Da9813EE34479BFf04C732E03deb,aura,840.0590
0xC859BF9d7B8C557bBd229565124c2C09269F3aEF,balancer,78.1083
0xC859BF9d7B8C557bBd229565124c2C09269F3aEF,aura,2547.7581
0xf697535848B535900c76f70F1e36EC3985D27862,balancer,626.7512
0xf697535848B535900c76f70F1e36EC3985D27862,aura,0.0000
0x79eF6103A513951a3b25743DB509E267685726B7,balancer,9465.3624
0x79eF6103A513951a3b25743DB509E267685726B7,aura,0.0000
0xf7B0751Fea697cf1A541A5f57D11058a8fB794ee,balancer,643.0417
0xf7B0751Fea697cf1A541A5f57D11058a8fB794ee,aura,3742.7853
0x0021e01B9fAb840567a8291b864fF783894EabC6,balancer,674.0119
0x0021e01B9fAb840567a8291b864fF783894EabC6,aura,3808.2979
0xa8B309a75f0D64ED632d45A003c68A30e59A1D8b,balancer,1626.1499
0xa8B309a75f0D64ED632d45A003c68A30e59A1D8b,aura,5822.3951
0x0B9Ea598757c7D03FB1937cc16bdD2C9D416ff80,balancer,0.0000
0x0B9Ea598757c7D03FB1937cc16bdD2C9D416ff80,aura,1747.2664
0x253ED65fff980AEE7E94a0dC57BE304426048b35,balancer,827.0237
0x253ED65fff980AEE7E94a0dC57BE304426048b35,aura,0.0000
0x5C0F23A5c1be65Fa710d385814a7Fd1Bda480b1C,balancer,3574.4154
0x5C0F23A5c1be65Fa710d385814a7Fd1Bda480b1C,aura,9943.6425
0x84f7F5cD2218f31B750E7009Bb6fD34e0b945DaC,balancer,738.0048
0x84f7F5cD2218f31B750E7009Bb6fD34e0b945DaC,aura,3943.6648
0xAC08fde28aa2D123B61a5dB3074cAF72760FfeEB,balancer,692.9408
0xAC08fde28aa2D123B61a5dB3074cAF72760FfeEB,aura,0.0000
0xbf65b3fA6c208762eD74e82d4AEfCDDfd0323648,balancer,0.0000
0xbf65b3fA6c208762eD74e82d4AEfCDDfd0323648,aura,913.2180
0x183D73dA7adC5011EC3C46e33BB50271e59EC976,balancer,777.3415
0x183D73dA7adC5011EC3C46e33BB50271e59EC976,aura,0.0000
0xf720e9137baa9C7612e6CA59149a5057ab320cFa,balancer,0.0000
0xf720e9137baa9C7612e6CA59149a5057ab320cFa,aura,1114.5363
0x15C84754c7445D0DF6c613f1490cA07654347c1B,balancer,0.0000
0x15C84754c7445D0DF6c613f1490cA07654347c1B,aura,2008.6181
0xA00DB7d9c465e95e4AA814A9340B9A161364470a,balancer,475.1670
0xA00DB7d9c465e95e4AA814A9340B9A161364470a,aura,3387.6729
0x10A19e7eE7d7F8a52822f6817de8ea18204F2e4f,payment,58823.24914576383851658821008
