target,platform,amount,bribe_platform
0x6dDEdCdB545e04927B2ABa21778A790A3318E3cb,balancer,421.7862,hiddenhand
0x6dDEdCdB545e04927B2ABa21778A790A3318E3cb,aura,0.0000,hiddenhand
0xD606Ea6f6d93D90EFafc7d21972353FB98205Eb8,balancer,531.9975,hiddenhand
0xD606Ea6f6d93D90EFafc7d21972353FB98205Eb8,aura,0.0000,hiddenhand
0x2fb78CD279fD613891fDAc2681444aD3541C31b2,balancer,431.3186,hiddenhand
0x2fb78CD279fD613891fDAc2681444aD3541C31b2,aura,0.0000,hiddenhand
0x1B7E33186C7e9C337508bB65EA9dc498aB14fcAE,balancer,613.8801,hiddenhand
0x1B7E33186C7e9C337508bB65EA9dc498aB14fcAE,aura,0.0000,hiddenhand
0x1dA19f38Eb6F2c22199dC0848118b26095C29aEd,balancer,462.5709,hiddenhand
0x1dA19f38Eb6F2c22199dC0848118b26095C29aEd,aura,3100.9276,hiddenhand
0xB1E8ec305b0b29097a117CaFC9721A553533E54C,balancer,570.9610,hiddenhand
0xB1E8ec305b0b29097a117CaFC9721A553533E54C,aura,0.0000,hiddenhand
0xfD151734ffC9A4A55C50fed4b66c15B06Bbb390B,balancer,0.0000,hiddenhand
0xfD151734ffC9A4A55C50fed4b66c15B06Bbb390B,aura,961.1332,hiddenhand
0x5C36197A631649441649028110fa503a3be00162,balancer,769.1358,hiddenhand
0x5C36197A631649441649028110fa503a3be00162,aura,0.0000,hiddenhand
0x9b237fA1958E3022464343137738926d38815801,balancer,557.9796,hiddenhand
0x9b237fA1958E3022464343137738926d38815801,aura,1050.2864,hiddenhand
0x7f49d37D0dA53A4899Bc0ba916F59Ec9D4E6d1e2,balancer,614.6264,hiddenhand
0x7f49d37D0dA53A4899Bc0ba916F59Ec9D4E6d1e2,aura,1156.9128,hiddenhand
0xA7165E1E3dEfe55DAdA5C4289268d57faBA6dAd2,balancer,0.0000,hiddenhand
0xA7165E1E3dEfe55DAdA5C4289268d57faBA6dAd2,aura,995.4366,hiddenhand
0xb2A8f0f477Aae4D78Ea78d85234233285c91bB08,balancer,867.4033,hiddenhand
0xb2A8f0f477Aae4D78Ea78d85234233285c91bB08,aura,0.0000,hiddenhand
0xd42Fae61a6D0f8466B9E790db921c3469d5BEf55,balancer,946.1590,hiddenhand
0xd42Fae61a6D0f8466B9E790db921c3469d5BEf55,aura,0.0000,hiddenhand
0xB1EFE3B01D5Cf28Bd923de3E5a567621588F435a,balancer,11110.7167,hiddenhand
0xB1EFE3B01D5Cf28Bd923de3E5a567621588F435a,aura,20913.7297,hiddenhand
0x10A19e7eE7d7F8a52822f6817de8ea18204F2e4f,payment,18903.21543692571690314445003,
0xea06e1b4259730724885a39CE3ca670eFB020E26,beets,379.4605190193406936949578668,
